week,weekly vaccinations (actuals),weekly vaccinations (forecast),cumulative weekly vaccinations
3,3195724.0,5025009.13959007,6433672.0
4,4880613.0,5647085.01458056,11314285.0
5,6980085.0,6573050.622660052,18294370.0
6,9860510.0,7846741.060443441,28154880.0
7,10491741.0,9544556.273352738,38646621.0
8,12052967.0,11220566.300159056,50699588.0
9,12044506.0,12979915.582378801,62744094.0
10,13865388.0,14560657.258914988,76609482.0
11,13663124.0,16160829.582211938,90272606.0
12,15179061.0,17507801.569722198,105451667.0
13,19933410.0,18736675.07198923,125385077.0
14,22685937.0,19922724.123892628,148071014.0
15,23532032.0,20681683.426967014,171603046.0
16,21234719.0,20804293.927215863,192837765.0
17,,20333998.898386564,213171763.89838657
18,,19367098.935467415,232538862.833854
19,,17976289.348388325,250515152.1822423
20,,16275116.345171534,266790268.52741385
21,,14394266.862549372,281184535.3899632
22,,12460992.849163845,293645528.23912704
23,,10582867.286533743,304228395.52566075
24,,8838779.79994274,313067175.3256035
25,,7277216.065216005,320344391.3908195
26,,5919864.900816366,326264256.2916359
27,,4767944.1230400205,331032200.4146759
